S_0d	S_3d
5.927004042	49.21347625
33.16720526	3.732350157
12.64179235	0.549593202
13.55210881	0.71586361
11.57827766	0.31808475
11.88416866	0.416192081
53.98430306	6.763011474
11.08244768	0.159732825
25.99726299	2.544185455
88.95273898	12.1349518
11.8059489	0.440690799
99.37432543	13.95372756
79.49689983	10.60153074
10.58902027	0.057796247
14.83410232	0.989484334
11.08860089	0.311993817
62.76982891	8.166666529
11.8813217	0.529937534
11.79387058	0.519779955
10.57530852	0.242720731
19.11854028	1.717282974
10.06536162	0.093524295
34.20785484	4.063583943
24.17590527	2.506792124
24.81114899	2.730416285
10.00738322	0.14144418
10.31606029	0.270483319
14.32235848	1.035740459
136.2622941	19.45312236
14.81651758	1.142700039
9.691951397	0.057938647
7.404941232	52.79173345
3.391944695	29.77138264
20.86199351	2.101907034
9.677205325	0.143008661
20.45578581	2.06591532
30.95570967	206.5708634
79.72167909	500.235053
16.96630052	1.542667901
23.49226535	2.62721557
15.71229105	1.295946598
28.50358013	3.260876611
95.54301006	13.87823893
10.10463039	0.359983284
5.286513609	40.16219583
10.87552437	0.555812738
9.469506071	0.182060094
16.41605581	1.497846026
13.23161746	0.962397221
9.774611052	0.302841871
20.68736848	2.203422377
9.42341049	0.213341179
9.126036878	0.089378714
9.910386974	0.364810766
9.059328991	0.048639574
11.90741068	0.753627876
20.05952295	2.067794718
126.4511532	19.58300812
808.7483799	131.5372808
642.597872	104.2909068
30.38631091	3.82794204
18.07392464	1.809942577
25.48949856	2.976952988
14.12468162	1.145286128
8.804565437	0.107948473
56.48648686	8.055129596
9.588559189	0.360470099
24.73935811	2.929742983
8.821885996	0.125979799
57.52088794	8.460016837
10.80517809	0.65809438
86.97317305	13.66641339
32.35330853	4.327768112
139.1346402	22.69131531
23.73537325	2.812762752
14.67934123	1.35312531
8.616145999	0.144241495
47.55117006	6.866532131
8.817918567	0.274595215
63.28358255	9.84117615
91.04689851	14.68343707
21.43998029	2.439646923
170.0438792	28.29817874
8.555360181	0.228230527
25.25654602	3.254681386
8.248425518	0.11579248
20.5461998	2.408758691
8.467775722	0.254860235
17.03883451	1.920765277
46.45948877	6.899766927
8.048986173	0.087842681
19.76088954	2.248040943
26.10430041	3.507146911
8.078407039	0.152803775
112.1432396	19.19398452
25.40465362	3.354215166
22.54095877	2.853834675
2.579146624	21.02624877
44.64498951	6.8283699
8.14297272	0.218264128
15.5523088	1.677843833
3.560707114	25.40970666
9.857157424	0.624067849
8.093537217	0.231710607
24.84884125	3.441105181
10.01899149	0.688213116
20.11680504	2.492101489
25.27685752	3.558055404
9.969204255	0.690425519
43.3359566	6.881632425
40.16942128	6.075736094
23.84088031	3.303650523
65.26014794	10.76454651
32.19461098	4.73039121
20.24512198	2.543084907
8.586904704	0.425221989
7.534581428	0.074602417
0.41680645	8.504921954
22.93276661	3.176002507
1.257839367	13.1198024
251.999958	1337.881774
17.46216596	2.11558714
8.415842144	0.415238383
7.46515645	0.105564753
11.14496651	0.939942672
7.405095471	0.091431767
21.15899133	2.840557115
7.716806928	0.239437056
33.57762257	5.128980061
8.319358889	0.423310726
33.91100584	5.28762748
7.582843754	0.204917052
7.382065773	0.10782801
17.75825446	2.198909731
24.98283377	138.0025203
13.61554074	1.400473374
8.660212921	0.519057518
27.15048186	3.93406865
9.941499647	0.78463449
32.83458182	5.244362405
17.2033787	2.148365199
12.70629765	1.300750837
46.00840457	7.580908729
107.0153979	19.49781469
7.274101933	0.149392977
7.139070058	0.101099779
17.52619304	2.214342205
7.806633482	46.16076192
13.61836428	1.523865564
15.67579731	1.848040903
30.71379826	4.830548388
10.98026373	0.985378086
0.416258569	8.102100242
11.90835173	1.153765358
19.53932032	2.73206111
59.48708948	10.28338729
12.73494939	1.318539913
43.49307148	7.378784903
10.36375588	0.885809453
10.17558546	0.819787675
19.0843936	2.619819146
15.33837669	1.850230648
75.63155526	13.56590406
18.45400761	2.49873119
7.510614004	0.316624553
6.947126719	0.13731452
7.161832863	0.227374693
31.41858645	5.110175553
37.5862507	6.334793512
4.236673483	27.14398638
15.50123241	1.930190482
7.008494464	0.187648748
71.65414342	13.47320776
8.390698431	0.541421406
8.030658252	0.469843501
7.217292697	0.278842318
14.23341285	1.68470044
14.25828792	1.701057005
12.12614351	1.342721743
7.898761261	0.45127276
6.722521105	0.097900239
62.86572297	11.82210933
11.87361527	1.244875063
24.72227158	3.714178837
11.74377426	1.213325395
8.239266428	0.554061854
9.476254167	0.791925103
3.067113742	21.05260486
27.6020849	4.462235916
10.76214107	1.027913303
8.07287299	0.519885851
16.64261067	2.330827736
51.7796618	9.626894089
195.9857507	38.15311468
16.15468393	2.192137716
41.39399351	7.256108516
7.079420111	0.307844854
150.0610417	28.88571596
14.61022228	1.858161272
38.10194015	6.53218631
40.98193084	7.266174147
14.01987221	1.728922326
6.436965494	0.068398365
11.19166379	1.161357095
13.88866883	1.723599331
19.90072204	2.922694604
7.594405404	0.467117369
6.390735558	0.081619577
12.66890802	1.432242791
10.95147833	1.126626025
6.65292382	0.2268093
21.40755916	3.251747682
24.93712387	4.046786476
21.68093962	111.2213569
37.21142939	6.616242028
7.768055694	0.509890225
6.457066118	0.156066857
42.50096888	7.809107179
1.05452983	10.40011553
0.539080701	7.805214078
10.25998148	1.033984931
6.433608697	0.18591126
7.346222604	0.457879433
19.84157988	2.965198028
38.86790711	7.236493418
6.426340066	0.199292509
8.211579232	0.659191135
6.8870885	0.349493752
12.03672051	1.364931126
17.72471122	2.532953563
7.462467842	0.47328114
6.21200747	0.114602831
25.18542169	4.192769863
14.22132115	1.894523818
6.695594174	0.314382468
17.32536924	2.502983511
6.928213789	0.383968338
12.97048329	1.63770778
6.478488343	0.254732559
34.03805588	6.163216089
65.53338173	12.63803427
93.13860716	18.52124943
10.5706831	1.188445416
200.9756245	937.0996092
7.667480708	0.562148271
14.10222461	1.984742425
72.05520083	14.10991457
24.04660707	4.111328326
16.36012013	2.338161932
18.73058461	2.981016035
7.799691119	0.623420841
67.89424763	13.28190628
146.0180977	30.19563228
17.38111723	2.592613278
71.25542969	328.151244
13.14226599	1.77452611
10.02908712	1.123034108
29.14518105	137.9142268
15.71543136	2.238987911
26.50532429	4.597710723
13.22064243	1.814967493
5.841831476	0.059859264
5.844898195	0.073376412
17.15621492	2.621801799
7.517466702	0.571592738
17.11295104	2.627724263
6.136516219	0.229039579
15.47494074	2.236753711
101.356276	21.10285061
163.3240129	35.46482611
8.33780753	0.757320796
4.279365051	24.95958026
0.273403588	6.240879591
5.734183268	0.048954442
6.646540545	0.389879129
16.59493835	2.545572426
8.290601229	0.773966666
11.21861064	1.377068109
17.95964824	85.73949304
16.35774049	2.481453276
11.18275649	55.54303145
41.94037469	7.970628658
8.949911609	0.908772462
43.42163624	8.403437657
6.237543997	0.296220219
97.38667147	21.01787451
0.568486489	7.281402878
7.467345296	39.35501624
49.54852999	9.921132384
25.84222829	4.660786258
26.50671679	4.940754122
6.465628591	0.379733023
4.888548558	26.3256955
15.16748211	72.35216074
10.41102068	1.221358809
10.18731924	1.157613936
14.19401078	2.037582482
75.07905079	16.01209665
6.46135695	0.393456885
78.41845622	16.93312494
22.91903398	4.017271409
47.89281568	9.813389817
8.354407987	42.54623021
11.80133169	1.582893863
75.01020232	16.18580254
61.31408978	12.77707702
16.80256808	2.708141521
24.17961521	4.366718383
62.39598626	13.13276975
22.57612331	4.021745412
5.627337369	0.129153709
11.83298704	1.633248807
9.957148498	1.140409483
151.4073909	34.22281079
5.745733873	0.187396264
5.536267538	0.08669437
34.27967401	6.543732329
6.268437918	0.358272144
15.4359892	70.19236526
32.40775887	6.153786301
14.59594736	2.208707932
51.0654973	10.56990067
13.74179798	62.94811505
8.67999578	0.956602592
5.732887118	0.218264128
5.691469151	0.210010443
5.62068288	0.179853804
15.69669602	2.527560988
6.052890246	0.329756747
353.766905	80.44368955
14.66095621	2.343528679
54.96200371	11.86228166
3.865335366	21.57548117
5.992900109	0.316101573
7.995391935	0.760546063
